2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
